 #	x	F(x)
 0.7317317  0.9608208
 0.7327327  0.9606598
 0.7337337  0.9604983
 0.7347347  0.9603364
 0.7357357  0.9601741
 0.7367367  0.9600113
 0.7377377  0.9598481
 0.7387387  0.9596844
 0.7397397  0.9595203
 0.7407407  0.9593558
 0.7417417  0.9591908
 0.7427427  0.9590254
 0.7437437  0.9588595
 0.7447447  0.9586931
 0.7457457  0.9585263
 0.7467467  0.9583591
 0.7477477  0.9581914
 0.7487487  0.9580233
 0.7497497  0.9578547
 0.7507508  0.9576857
 0.7517518  0.9575162
 0.7527528  0.9573463
 0.7537538  0.9571759
 0.7547548  0.9570050
 0.7557558  0.9568337
 0.7567568  0.9566620
 0.7577578  0.9564898
 0.7587588  0.9563171
 0.7597598  0.9561440
 0.7607608  0.9559704
 0.7617618  0.9557964
 0.7627628  0.9556219
 0.7637638  0.9554470
 0.7647648  0.9552716
 0.7657658  0.9550957
 0.7667668  0.9549194
 0.7677678  0.9547426
 0.7687688  0.9545653
 0.7697698  0.9543876
 0.7707708  0.9542095
 0.7717718  0.9540308
 0.7727728  0.9538517
 0.7737738  0.9536722
 0.7747748  0.9534921
 0.7757758  0.9533116
 0.7767768  0.9531307
 0.7777778  0.9529492
 0.7787788  0.9527673
 0.7797798  0.9525850
 0.7807808  0.9524021
 0.7817818  0.9522188
 0.7827828  0.9520351
 0.7837838  0.9518508
 0.7847848  0.9516661
 0.7857858  0.9514809
 0.7867868  0.9512953
 0.7877878  0.9511091
 0.7887888  0.9509225
 0.7897898  0.9507354
 0.7907908  0.9505479
 0.7917918  0.9503599
 0.7927928  0.9501714
 0.7937938  0.9499824
 0.7947948  0.9497929
 0.7957958  0.9496030
 0.7967968  0.9494126
 0.7977978  0.9492217
 0.7987988  0.9490303
 0.7997998  0.9488384
 0.8008008  0.9486461
 0.8018018  0.9484533
 0.8028028  0.9482600
 0.8038038  0.9480662
 0.8048048  0.9478719
 0.8058058  0.9476772
 0.8068068  0.9474819
 0.8078078  0.9472862
 0.8088088  0.9470900
 0.8098098  0.9468933
 0.8108108  0.9466961
 0.8118118  0.9464985
 0.8128128  0.9463003
 0.8138138  0.9461017
 0.8148148  0.9459026
 0.8158158  0.9457029
 0.8168168  0.9455028
 0.8178178  0.9453022
 0.8188188  0.9451011
 0.8198198  0.9448995
 0.8208208  0.9446975
 0.8218218  0.9444949
